    0.00 
    0.20 V
      frequency    real         imag
      255.04    -0.0004583    -0.0007149
      255.05    -0.0004771    -0.0006271
      255.06    -0.0002291    -0.0007914
      255.07    -0.0003223    -0.0008975
      255.08    -0.0003915    -0.0008534
      255.09    -0.0004482    -0.0005537
      255.10    -0.0003407    -0.0008635
      255.12    -0.0004283    -0.0006552
      255.13    -0.0003382    -0.0007173
      255.14    -0.0004479    -0.0007704
      255.15    -0.0003924    -0.0007524
      255.16    -0.0002015    -0.0005969
      255.17    -0.0004353    -0.0008708
      255.18    -0.0003266    -0.0005940
      255.19    -0.0002967    -0.0007307
      255.20    -0.0002728    -0.0007462
      255.21    -0.0005363    -0.0008520
      255.23    -0.0004005    -0.0008049
      255.24    -0.0004908    -0.0006323
      255.25    -0.0005182    -0.0005821
      255.26    -0.0003172    -0.0008979
      255.27    -0.0004744    -0.0006302
      255.28    -0.0002256    -0.0008424
      255.29    -0.0003518    -0.0007137
      255.30    -0.0003507    -0.0007851
      255.31    -0.0004172    -0.0009010
      255.32    -0.0003780    -0.0007716
      255.34    -0.0003664    -0.0007984
      255.35    -0.0003635    -0.0007543
      255.36    -0.0001627    -0.0006251
      255.37    -0.0004525    -0.0008049
      255.38    -0.0003448    -0.0006881
      255.39    -0.0003169    -0.0007803
      255.40    -0.0002816    -0.0007738
      255.41    -0.0002985    -0.0007595
      255.42    -0.0004286    -0.0007233
      255.43    -0.0004039    -0.0008503
      255.45    -0.0005499    -0.0008387
      255.46    -0.0003295    -0.0007797
      255.47    -0.0005109    -0.0005347
      255.48    -0.0002978    -0.0005202
      255.49    -0.0003300    -0.0006439
      255.50    -0.0000947    -0.0006767
      255.51    -0.0004191    -0.0006648
      255.52    -0.0004482    -0.0007218
      255.53    -0.0004811    -0.0007352
      255.54    -0.0004139    -0.0005863
      255.56    -0.0003938    -0.0006674
      255.57    -0.0004264    -0.0007847
      255.58    -0.0005485    -0.0006566
      255.59    -0.0003599    -0.0007449
      255.60    -0.0004320    -0.0008193
      255.61    -0.0003430    -0.0008929
      255.62    -0.0003122    -0.0007469
      255.63    -0.0004503    -0.0006392
      255.64    -0.0004550    -0.0007993
      255.65    -0.0003875    -0.0007978
      255.67    -0.0002940    -0.0006820
      255.68    -0.0003174    -0.0006629
      255.69    -0.0002963    -0.0006379
      255.70    -0.0001328    -0.0007685
      255.71    -0.0003379    -0.0009564
      255.72    -0.0002883    -0.0006637
      255.73    -0.0005250    -0.0006364
      255.74    -0.0004336    -0.0008252
      255.75    -0.0003540    -0.0008345
      255.76    -0.0002840    -0.0006219
      255.78    -0.0003654    -0.0007650
      255.79    -0.0004604    -0.0006207
      255.80    -0.0005083    -0.0006916
      255.81    -0.0001453    -0.0007716
      255.82    -0.0003848    -0.0006670
      255.83    -0.0003520    -0.0007971
      255.84    -0.0004608    -0.0005201
      255.85    -0.0003551    -0.0008075
      255.86    -0.0002042    -0.0006230
      255.87    -0.0003985    -0.0008468
      255.89    -0.0001590    -0.0008378
      255.90    -0.0003680    -0.0006909
      255.91    -0.0003495    -0.0005540
      255.92    -0.0003344    -0.0008033
      255.93    -0.0003629    -0.0007760
      255.94    -0.0004376    -0.0006466
      255.95    -0.0003059    -0.0006699
      255.96    -0.0002902    -0.0006238
      255.97    -0.0002515    -0.0005159
      255.98    -0.0004508    -0.0008639
      256.00    -0.0003792    -0.0007026
      256.01    -0.0001124    -0.0007812
      256.02    -0.0003197    -0.0005727
      256.03    -0.0003472    -0.0006471
      256.04    -0.0001542    -0.0005492
      256.05    -0.0004018    -0.0006860
      256.06    -0.0005040    -0.0005996
      256.07    -0.0003107    -0.0004828
      256.08    -0.0002232    -0.0008221
      256.09    -0.0004215    -0.0006027
      256.11    -0.0002810    -0.0007005
      256.12    -0.0004304    -0.0006302
      256.13    -0.0003266    -0.0006193
      256.14    -0.0003593    -0.0006583
      256.15    -0.0004050    -0.0006664
      256.16    -0.0003782    -0.0005561
      256.17    -0.0003709    -0.0005960
      256.18    -0.0003488    -0.0007063
      256.19    -0.0004542    -0.0005842
      256.20    -0.0003283    -0.0006001
      256.22    -0.0002908    -0.0006680
      256.23    -0.0002454    -0.0006641
      256.24    -0.0002359    -0.0005934
      256.25    -0.0003762    -0.0005959
      256.26    -0.0002675    -0.0007237
      256.27    -0.0002943    -0.0005572
      256.28    -0.0002869    -0.0007501
      256.29    -0.0002212    -0.0007309
      256.30    -0.0003033    -0.0006920
      256.31    -0.0003438    -0.0008016
      256.33    -0.0003002    -0.0005670
      256.34    -0.0004169    -0.0006112
      256.35    -0.0005502    -0.0006951
      256.36    -0.0004350    -0.0007856
      256.37    -0.0002336    -0.0006479
