   37.56 C
      frequency    real         imag
      255.72    -0.0010616    -0.0019517
      255.73    -0.0011333    -0.0020261
      255.74    -0.0010510    -0.0020536
      255.75    -0.0012439    -0.0020740
      255.76    -0.0010326    -0.0019182
      255.78    -0.0010348    -0.0020271
      255.79    -0.0010366    -0.0018309
      255.80    -0.0010847    -0.0018337
      255.81    -0.0011458    -0.0019911
      255.82    -0.0008939    -0.0021953
      255.83    -0.0013128    -0.0020417
      255.84    -0.0012102    -0.0019151
      255.85    -0.0011332    -0.0019749
      255.86    -0.0012837    -0.0019594
      255.87    -0.0012649    -0.0020118
      255.89    -0.0012217    -0.0020712
      255.90    -0.0010853    -0.0019720
      255.91    -0.0011088    -0.0019590
      255.92    -0.0013138    -0.0019891
      255.93    -0.0012673    -0.0019527
      255.94    -0.0010788    -0.0019035
      255.95    -0.0011023    -0.0020272
      255.96    -0.0012169    -0.0018816
      255.97    -0.0011563    -0.0019970
      255.98    -0.0010770    -0.0018348
      256.00    -0.0011451    -0.0016741
      256.01    -0.0011069    -0.0018853
      256.02    -0.0009894    -0.0017890
      256.03    -0.0011153    -0.0019291
      256.04    -0.0012590    -0.0016471
      256.05    -0.0011176    -0.0019078
      256.06    -0.0010251    -0.0018391
      256.07    -0.0011830    -0.0018520
      256.08    -0.0011434    -0.0020590
      256.09    -0.0011718    -0.0017218
      256.11    -0.0011187    -0.0018116
      256.12    -0.0009133    -0.0018870
      256.13    -0.0011643    -0.0018970
      256.14    -0.0010765    -0.0020309
      256.15    -0.0010774    -0.0019458
      256.16    -0.0010606    -0.0018533
      256.17    -0.0012343    -0.0017491
      256.18    -0.0011538    -0.0018726
      256.19    -0.0010648    -0.0017492
      256.20    -0.0010316    -0.0019220
      256.22    -0.0011956    -0.0018702
      256.23    -0.0009630    -0.0018719
      256.24    -0.0008497    -0.0019653
      256.25    -0.0012680    -0.0018829
      256.26    -0.0009894    -0.0018966
      256.27    -0.0011098    -0.0017239
      256.28    -0.0010436    -0.0018907
      256.29    -0.0010587    -0.0017712
      256.30    -0.0009625    -0.0018359
      256.31    -0.0009654    -0.0017558
      256.33    -0.0009902    -0.0018900
      256.34    -0.0008602    -0.0018232
      256.35    -0.0010374    -0.0018787
      256.36    -0.0009814    -0.0018576
      256.37    -0.0011779    -0.0020181
      256.38    -0.0011549    -0.0019036
      256.39    -0.0010819    -0.0018512
      256.40    -0.0012968    -0.0017832
      256.41    -0.0009903    -0.0017994
      256.42    -0.0010887    -0.0017727
      256.44    -0.0011344    -0.0018276
      256.45    -0.0010206    -0.0016753
      256.46    -0.0009442    -0.0017079
      256.47    -0.0010874    -0.0018387
      256.48    -0.0007795    -0.0017451
      256.49    -0.0010825    -0.0016487
      256.50    -0.0009624    -0.0018306
      256.51    -0.0008712    -0.0019866
      256.52    -0.0008351    -0.0018012
      256.53    -0.0008550    -0.0018769
      256.55    -0.0010283    -0.0018058
      256.56    -0.0007847    -0.0019245
      256.57    -0.0007922    -0.0018181
      256.58    -0.0011356    -0.0018886
      256.59    -0.0009376    -0.0017889
      256.60    -0.0010649    -0.0018798
      256.61    -0.0008947    -0.0018629
      256.62    -0.0010404    -0.0016766
      256.63    -0.0008638    -0.0018285
      256.64    -0.0011066    -0.0018543
      256.66    -0.0008942    -0.0018275
      256.67    -0.0010440    -0.0018170
      256.68    -0.0010543    -0.0018878
      256.69    -0.0008881    -0.0021545
      256.70    -0.0008256    -0.0017862
      256.71    -0.0009289    -0.0018228
      256.72    -0.0009080    -0.0018429
      256.73    -0.0009758    -0.0018334
      256.74    -0.0008519    -0.0018110
      256.75    -0.0009347    -0.0018590
      256.77    -0.0008905    -0.0019024
      256.78    -0.0007158    -0.0018386
      256.79    -0.0009299    -0.0019640
      256.80    -0.0008483    -0.0017777
