frequency    real         imag
      238.10    -0.0010630    -0.0026289
      238.12    -0.0008329    -0.0026390
      238.15    -0.0009819    -0.0026939
      238.17    -0.0009872    -0.0025976
      238.20    -0.0009215    -0.0026750
      238.22    -0.0008833    -0.0027158
      238.25    -0.0009215    -0.0025925
      238.27    -0.0012131    -0.0027408
      238.30    -0.0010046    -0.0025180
      238.32    -0.0011028    -0.0026756
      238.35    -0.0010445    -0.0025612
      238.37    -0.0010939    -0.0026031
      238.40    -0.0012019    -0.0025569
      238.42    -0.0010398    -0.0025449
      238.45    -0.0009843    -0.0026345
      238.47    -0.0011463    -0.0025309
      238.50    -0.0011536    -0.0025641
      238.52    -0.0010511    -0.0025971
      238.55    -0.0010899    -0.0025935
      238.57    -0.0012424    -0.0026351
      238.60    -0.0010970    -0.0025866
      238.62    -0.0012670    -0.0025253
      238.65    -0.0011052    -0.0022879
      238.68    -0.0011010    -0.0024492
      238.70    -0.0012065    -0.0024755
      238.73    -0.0012733    -0.0024330
      238.75    -0.0012261    -0.0025347
      238.78    -0.0012112    -0.0025673
      238.80    -0.0013226    -0.0024870
      238.83    -0.0012492    -0.0024856
      238.85    -0.0013435    -0.0025173
      238.88    -0.0013941    -0.0024898
      238.90    -0.0012211    -0.0023679
      238.93    -0.0013088    -0.0024629
      238.95    -0.0014728    -0.0024989
      238.98    -0.0012673    -0.0024073
      239.00    -0.0012467    -0.0024744
      239.03    -0.0014182    -0.0023349
      239.05    -0.0013136    -0.0024683
      239.08    -0.0013829    -0.0022572
      239.10    -0.0013667    -0.0024664
      239.13    -0.0014959    -0.0023267
      239.15    -0.0014722    -0.0023438
      239.18    -0.0013711    -0.0025270
      239.20    -0.0013847    -0.0022752
      239.23    -0.0014185    -0.0022629
      239.25    -0.0014155    -0.0023800
      239.28    -0.0014187    -0.0022536
      239.31    -0.0015286    -0.0021366
      239.33    -0.0013543    -0.0022891
      239.36    -0.0016530    -0.0021829
      239.38    -0.0014533    -0.0023089
      239.41    -0.0014077    -0.0023382
      239.43    -0.0014756    -0.0021314
      239.46    -0.0015514    -0.0022241
      239.48    -0.0014539    -0.0020195
      239.51    -0.0015755    -0.0022515
      239.53    -0.0015955    -0.0021559
      239.56    -0.0014826    -0.0022440
      239.58    -0.0015287    -0.0020958
      239.61    -0.0013638    -0.0021322
      239.63    -0.0015707    -0.0021646
      239.66    -0.0015961    -0.0021037
      239.68    -0.0014798    -0.0018785
      239.71    -0.0016164    -0.0020782
      239.73    -0.0016733    -0.0021696
      239.76    -0.0017340    -0.0021349
      239.78    -0.0016849    -0.0021522
